,Crop,ScientificName,Symbol,NuContAvailable,PlantPartHarvested,CropCategory,YieldUnit,AvYieldUnitWeight(lb),AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),YieldUnitWeight(lb)_set,DryMatter%_NAS,AvDryMatter%,N%(dry)_NAS,Protein%(dry)_NAS,,N
130,"Bromegrass, for green chop (late bloom)",Bromus sp.,BROMU,N,Aboveground biomass,Forage,ton,2000,72.6,1.792,#DIV/0!,#DIV/0!,"2,000",27.1,27.4,1.712,10.7,,0
131,"Bromegrass, for green chop (mature)",Bromus sp.,BROMU,"N,P,K",Aboveground biomass,Forage,ton,2000,44,1.024,0.26,1.25,"2,000",63.57021505,56,2.141487225,13.38627753,,0
132,"Bromegrass, for hay",Bromus sp.,BROMU,"N,P,K",Aboveground biomass,Forage,ton,2000,8.93,1.530666667,0.16,1.64,"2,000",91.4,91.07,1.552,9.7,,0
133,"Bromegrass, for hay (early bloom)",Bromus sp.,BROMU,"N,P,K",Aboveground biomass,Forage,ton,2000,7.1,1.736,0.325,1.91,"2,000",63.57021505,92.9,1.648,10.3,,0
134,"Bromegrass, for hay (mature)",Bromus sp.,BROMU,"N,P,K",Aboveground biomass,Forage,ton,2000,8.63,1.061333333,0.086666667,1.9,"2,000",90.1,91.37,1.072,6.7,,0
135,"Bromegrass, for seed",Bromus sp.,BROMU,"N,K",Floret,Forage,cwt,100,55.8,1.552,#DIV/0!,0.93,100,44.2,44.2,1.552,9.7,,0
136,"Bromegrass-Smooth, for green chop",Bromus inermis,BRIN2,"N,P,K",Aboveground biomass,Forage,ton,2000,67.6,2.176,0.32,3.16,"2,000",36.2,32.4,2.141487225,13.38627753,,0
137,"Bromegrass-Smooth, for green chop (full bloom)",Bromus inermis,BRIN2,"N,P,K",Aboveground biomass,Forage,ton,2000,71.3,1.885777778,0.28,2.33,"2,000",27.1,28.7,1.632,10.2,,0
138,"Bromegrass-Smooth, for green chop (mature)",Bromus inermis,BRIN2,"N,P,K",Aboveground biomass,Forage,ton,2000,45.5,0.836264151,0.19245283,0.34,"2,000",55.1,54.5,0.928,5.8,,0
139,"Bromegrass-Smooth, for green chop (mid bloom)",Bromus inermis,BRIN2,N,Aboveground biomass,Forage,ton,2000,70,2.24,#DIV/0!,#DIV/0!,"2,000",30,30,2.24,14,,0
140,"Bromegrass-Smooth, for green chop (pre bloom)",Bromus inermis,BRIN2,N,Aboveground biomass,Forage,ton,2000,74.7,3.024,#DIV/0!,#DIV/0!,"2,000",63.57021505,25.3,2.141487225,13.38627753,,0
141,"Bromegrass-Smooth, for hay",Bromus inermis,BRIN2,"N,P,K",Aboveground biomass,Forage,ton,2000,10.48,2.027342342,0.230990991,2.203761261,"2,000",89.7,89.53,1.872,11.7,,0
142,"Bromegrass-Smooth, for hay (full bloom)",Bromus inermis,BRIN2,"N,K",Aboveground biomass,Forage,ton,2000,10.63,1.661863014,#DIV/0!,1.43,"2,000",90.1,89.37,1.696,10.6,,0
143,"Bromegrass-Smooth, for hay (mature)",Bromus inermis,BRIN2,"N,P,K",Aboveground biomass,Forage,ton,2000,6.83,0.98,0.192765957,2.305,"2,000",92.9,93.17,2.141487225,13.38627753,,0
144,"Bromegrass-Smooth, for hay (mid bloom)",Bromus inermis,BRIN2,"N,P,K",Aboveground biomass,Forage,ton,2000,12.4,1.968,0.28,1.99,"2,000",87.6,87.6,1.6,10,,0
145,"Bromegrass-Smooth, for hay (late vegetative)",Bromus inermis,BRIN2,"N,P,K",Aboveground biomass,Forage,ton,2000,8.8,3.152,0.46,3.41,"2,000",63.57021505,91.2,2.141487225,13.38627753,,0
146,"Bromegrass-Smooth, for hay (pre bloom)",Bromus inermis,BRIN2,N,Aboveground biomass,Forage,ton,2000,9.7,1.93145515,#DIV/0!,#DIV/0!,"2,000",90.3,90.3,1.936,12.1,,0
147,"Bromegrsss, for hay (late bloom)",Bromus sp.,BROMU,"N,P,K",Aboveground biomass,Forage,ton,2000,12.9,1.192,0.35,2.32,"2,000",85.4,87.1,0.992,6.2,,0
148,"Brussel Sprouts, for bud",Brassica oleracea var.gemmifera,BROLG,"N,P,K",Bud,Vegetable,lb of fruit ,1,86.6,4.981333333,0.5125,3.25,25,14.8,13.4,5.296,33.1,,0
149,"Buckwheat (ordinary cultivars), for grain",Fagopyrum sp.,FAGOP2,"N,P,K",Seed,Cereal and oil,bu,48,12.2,1.937932723,0.360568182,0.510340909,48,87.7,87.8,1.936,12.1,,0
150,"Buckwheat (ordinary cultivars), for straw",Fagopyrum sp.,FAGOP2,"N,P,K",Straw,Cereal and oil,ton,2000,11.32,0.791639892,0.101286682,2.619334086,"2,000",88.3,88.68,0.784,4.9,,0
151,Butternut (dry),Juglans cinerea,JUCI,"N,P,K",Nut,Tree and fruit,lb of nut,1,3.34,4.121663563,0.461411132,0.435547279,1,63.57021505,96.66,2.141487225,13.38627753,,0
152,"Cabbage, for head (with outer leaves)",Brassica oleracea,BROL,"N,P,K",Head (terminal bud and leaves),Vegetable,lb of leaf,1,90.8,3.454468085,0.354787234,2.727730497,50,63.57021505,9.2,2.141487225,13.38627753,,0
153,"Cabbage, for head (without outer leaves)",Brassica oleracea,BROL,"N,P,K",Head (terminal bud and leaves),Vegetable,lb of leaf,1,91.7,3.034245614,0.384912281,3.163157895,50,8.7,8.3,2.912,18.2,,0
154,"Cabbage, for waste (outer leaves)",Brassica oleracea,BROL,"N,P",Leaf,Vegetable,lb of leaf,1,85.75,2.664556962,0.21,#DIV/0!,1,14.8,14.25,2.304,14.4,,0
155,Cabbage-Chinese,Brassica oleracea,BROL,"N,P,K",Leaf and petiole,Vegetable,lb of leaf,1,93,3.085714286,0.485714286,2.928571429,40,63.57021505,7,2.141487225,13.38627753,,0
156,Cabbage-Red,Brassica oleracea,BROL,"N,P,K",Head (terminal bud and leaves),Vegetable,lb of leaf,1,92,2.8,0.525,2.375,50,63.57021505,8,2.141487225,13.38627753,,0
157,Cabbage-White,Brassica oleracea,BROL,"N,P,K",Head (terminal bud and leaves),Vegetable,lb of leaf,1,92,2.4,0.425,2.75,50,63.57021505,8,2.141487225,13.38627753,,0
158,"Canarygrass-Reed, for green chop",Phalaris arundinacea,PHAR3,"N,P,K",Aboveground biomass,Forage,ton,2000,75.8,2.424,0.33,3.64,"2,000",25.4,24.2,2.752,17.2,,0
159,"Canarygrass-Reed, for green chop (early bloom)",Phalaris arundinacea,PHAR3,"N,P",Aboveground biomass,Forage,ton,2000,76.1,2.12,0.2,#DIV/0!,"2,000",25.5,23.9,1.648,10.3,,0
160,Cherry (sweet),Prunus avium,PRAV,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,81.38,1.073960499,0.098752599,1.164241164,18,63.57021505,18.62,2.141487225,13.38627753,,0
161,Chestnut-Chinese,Castanea mollissima,CAMO83,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,43.95,1.198929527,0.171275647,0.79750223,18,63.57021505,56.05,2.141487225,13.38627753,,0
162,Chestnut-European,Castanea sativa,CASA27,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,48.65,0.754040896,0.181110029,1.008763389,1,63.57021505,51.35,2.141487225,13.38627753,,0
163,Chestnut-Japanese,Castanea crenata,CACR27,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,61.41,0.932884167,0.186576833,0.852552475,1,63.57021505,38.59,2.141487225,13.38627753,,0
164,"Chicory, for green chop",Cichorium,CICHO,N,Aboveground biomass,Forage,ton,2000,82.6,0.0352,#DIV/0!,#DIV/0!,"2,000",17.4,17.4,0.0352,0.22,,0
165,Chive,Allium schoenoprasum,ALSC,"N,P,K",Leaf,Vegetable,lb of leaf,1,92,5.6,0.6375,3.125,1,63.57021505,8,2.141487225,13.38627753,,0
166,"Clover + Timothy, for hay","Trifolium sp., Phleum pratense","TRIFO, PHPR3","N,P,K",Aboveground biomass,Forage,ton,2000,11.1,1.488,0.17,1.81,"2,000",88.9,88.9,1.488,9.3,,0
167,"Canarygrass-Reed, for hay (vegetative)",Phalaris arundinacea,PHAR3,"N,P",Aboveground biomass,Forage,ton,2000,8.25,2.64,0.24,#DIV/0!,"2,000",91.7,91.75,2.384,14.9,,0
168,"Canola, for seed",Brassica sp.,BRASS2,"N,P,K",Seed,Cereal and oil,cwt,100,8.93,3.888736648,0.62,0.98,100,90.5,91.07,3.6,22.5,,0
169,"Canola, for straw",Brassica sp.,BRASS2,N,Straw,Cereal and oil,lb straw/cwt grain,236,20.3,0.56,#DIV/0!,#DIV/0!,100,79.7,79.7,0.56,3.5,,0
170,Carambola,Averrhoa carambola,AVCA,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,90.92,0.95154185,0.176211454,1.795154185,22,63.57021505,9.08,2.141487225,13.38627753,,0
171,Carissa,Carissa macrocarpa,CAMA37,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,84.17,0.505369551,0.044219836,1.642451042,1,63.57021505,15.83,2.141487225,13.38627753,,0
172,"Carrot, for root",Daucus carota ssp. sativus,DACAS,"N,P,K",Root,Vegetable,lb of root,1,88,1.510773109,0.328355742,2.430168067,25,12.9,12,1.648,10.3,,0
173,"Canarygrass-Reed, for green chop (mature)",Phalaris arundinacea,PHAR3,"N,P",Aboveground biomass,Forage,ton,2000,70,1.248,0.2,#DIV/0!,"2,000",30,30,1.248,7.8,,0
174,"Canarygrass-Reed, for green chop (mid bloom)",Phalaris arundinacea,PHAR3,"N,P,K",Aboveground biomass,Forage,ton,2000,74.7,1.984,0.28,2.4,"2,000",27.7,25.3,1.984,12.4,,0
175,"Canarygrass-Reed, for green chop (vegetative)",Phalaris arundinacea,PHAR3,"N,P,K",Aboveground biomass,Forage,ton,2000,76.25,2.528,0.4,3.31,"2,000",24.5,23.75,3.056,19.1,,0
176,"Canarygrass-Reed, for hay",Phalaris arundinacea,PHAR3,"N,P,K",Aboveground biomass,Forage,ton,2000,10.97,1.701333333,0.283333333,2.99,"2,000",88.8,89.03,1.84,11.5,,0
177,"Canarygrass-Reed, for hay (early bloom)",Phalaris arundinacea,PHAR3,"N,P,K",Aboveground biomass,Forage,ton,2000,8.1,2.184,0.47,2.62,"2,000",91.5,91.9,1.792,11.2,,0
178,"Canarygrass-Reed, for hay (mature)",Phalaris arundinacea,PHAR3,"N,P",Aboveground biomass,Forage,ton,2000,7.9,1.424,0.145,#DIV/0!,"2,000",91.5,92.1,2.141487225,13.38627753,,0
179,"Canarygrass-Reed, for hay (mid bloom)",Phalaris arundinacea,PHAR3,"P,K",Aboveground biomass,Forage,ton,2000,8.1,#DIV/0!,0.31,2.07,"2,000",91.9,91.9,2.141487225,13.38627753,,0
180,"Carrot, for top",Daucus carota ssp. sativus,DACAS,"N,P,K",Stem and leaves,Vegetable,lb of stem and leaf,1,83.83,2.349666667,0.1875,1.875,1,16.5,16.17,2.624,16.4,,0
181,"Cauliflower, for immature inflorescence",Brassica oleracea var. botrytis,BROLB,"N,P,K",Inflorescence,Vegetable,lb of fruit ,1,90.88,4.42631579,0.664473684,3.22,50,9,9.13,4.8,30,,0
182,Celery-Green,Apium graveolens var. dulce,APGRD,"N,P,K",Petiole,Vegetable,lb of stem ,1,94.55,2.424,0.66,4.8,60,5.9,5.45,1.968,12.3,,0
183,Celery-Self-blanching,Apium graveolens var. dulce,APGRD,"N,P,K",Petiole,Vegetable,lb of stem ,1,96,2.8,0.675,4,60,63.57021505,4,2.141487225,13.38627753,,0
184,"Chard-Swiss, for immature leaf",Beta vulgaris ssp. cicla,BEVUC,"N,P,K",Leaf,Vegetable,lb of leaf,1,92,3.6,0.575,3,35,63.57021505,8,2.141487225,13.38627753,,0
185,Cherimoya,Annona cherimola,ANCH9,"N,P",Fruit,Tree and fruit,lb of fruit,1,73.5,0.78490566,0.150943396,#DIV/0!,1,63.57021505,26.5,2.141487225,13.38627753,,0
186,"Cherry (sour, red)",Prunus cerasus,PRCE,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,86.13,1.153568854,0.10814708,1.247296323,18,63.57021505,13.87,2.141487225,13.38627753,,0
187,"Clover-Alsike, for green chop",Trifolium hybridum,TRHY,"N,P,K",Aboveground biomass,Forage,ton,2000,77.2,2.8876,0.285681818,2.7,"2,000",22.5,22.8,2.896,18.1,,0
188,"Clover-Alsike, for green chop (full bloom)",Trifolium hybridum,TRHY,"N,P,K",Aboveground biomass,Forage,ton,2000,75.87,2.496063492,0.260777509,2.582372881,"2,000",23.6,24.13,2.512,15.7,,0
189,"Clover-Alsike, for green chop (mid bloom)",Trifolium hybridum,TRHY,"N,P,K",Aboveground biomass,Forage,ton,2000,76.4,2.512,0.25,2.58,"2,000",23.6,23.6,2.512,15.7,,0
190,"Clover-Alsike, for hay",Trifolium hybridum,TRHY,"N,P,K",Aboveground biomass,Forage,ton,2000,12.56,2.266845444,0.254679415,2.48116423,"2,000",87.4,87.44,2.272,14.2,,0
191,"Clover-Alsike, for hay (early bloom)",Trifolium hybridum,TRHY,N,Aboveground biomass,Forage,ton,2000,17.85,2.632,#DIV/0!,#DIV/0!,"2,000",82.2,82.15,2.64,16.5,,0
192,"Clover-Alsike, for hay (full bloom)",Trifolium hybridum,TRHY,"N,P,K",Aboveground biomass,Forage,ton,2000,10.35,2.362247191,0.280898876,2.550561798,"2,000",90.3,89.65,2.32,14.5,,0
193,"Clover-Alsike, for hay (mid bloom)",Trifolium hybridum,TRHY,"N,P,K",Aboveground biomass,Forage,ton,2000,11,2.416,0.28,2.55,"2,000",89,89,2.416,15.1,,0
194,"Clover-Crimson, for green chop",Trifolium incarnatum,TRIN3,"N,P,K",Aboveground biomass,Forage,ton,2000,80.78,2.737579888,0.275356081,3.100862069,"2,000",17.6,19.22,2.72,17,,0
195,"Clover-Crimson, for green chop (late bloom)",Trifolium incarnatum,TRIN3,N,Aboveground biomass,Forage,ton,2000,84.1,2.816,#DIV/0!,#DIV/0!,"2,000",15.9,15.9,2.816,17.6,,0
196,"Clover-Crimson, for hay",Trifolium incarnatum,TRIN3,"N,P,K",Aboveground biomass,Forage,ton,2000,11.75,2.654096389,0.224392347,2.759329609,"2,000",88.8,88.25,2.672,16.7,,0
197,"Clover-Crimson, for hay (early bloom)",Trifolium incarnatum,TRIN3,N,Aboveground biomass,Forage,ton,2000,15.1,3.776,#DIV/0!,#DIV/0!,"2,000",84.9,84.9,3.776,23.6,,0
198,"Clover-Crimson, for hay (late bloom)",Trifolium incarnatum,TRIN3,N,Aboveground biomass,Forage,ton,2000,13.9,2.624,#DIV/0!,#DIV/0!,"2,000",86.1,86.1,2.624,16.4,,0
199,"Clover-Red + Grass, for hay","Trifolium pratense, Poaceae",TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,11.6,2.272,0.23,1.42,"2,000",88.1,88.4,2.24,14,,0
200,"Clover-Red + Grass, for hay (full bloom)","Trifolium pratense, Poaceae",TRPR2,N,Aboveground biomass,Forage,ton,2000,11.3,2.528,#DIV/0!,#DIV/0!,"2,000",88.7,88.7,2.528,15.8,,0
201,"Clover-Red + Grass, for hay (mature)","Trifolium pratense, Poaceae",TRPR2,"N,P",Aboveground biomass,Forage,ton,2000,8.6,1.776,0.25,#DIV/0!,"2,000",91.4,91.4,1.776,11.1,,0
202,"Clover-Red + Grass, for hay (mid bloom)","Trifolium pratense, Poaceae",TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,10.8,2.656,0.23,1.59,"2,000",89.2,89.2,2.656,16.6,,0
203,"Clover-Red + Timothy, for hay","Trifolium partense, Phleum pratense","TRPR2, PHPR3","P,K",Aboveground biomass,Forage,ton,2000,9.6,#DIV/0!,0.17,1.52,"2,000",90.4,90.4,2.141487225,13.38627753,,0
204,"Clover-Red, for green chop",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,77.5,2.921061225,0.29372449,2.401632653,"2,000",22.7,22.5,2.928,18.3,,0
205,"Clover-Red, for green chop (early bloom)",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,80.15,3.104,0.38,2.49,"2,000",19.7,19.85,3.104,19.4,,0
206,"Clover-Red, for green chop (full bloom)",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,73.58,2.374716484,0.284917582,1.964505495,"2,000",27.6,26.42,2.384,14.9,,0
207,"Clover-Red, for green chop (late vegetative)",Trifolium pratense,TRPR2,N,Aboveground biomass,Forage,ton,2000,75,3.4,#DIV/0!,#DIV/0!,"2,000",63.57021505,25,2.141487225,13.38627753,,0
208,"Clover-Red, for green chop (mid bloom)",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,74.27,2.424986301,0.284863014,1.98,"2,000",23.5,25.73,2.496,15.6,,0
209,"Clover-Red, for hay",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,13.95,2.507601359,0.261625142,1.887157418,"2,000",78,86.05,2.352,14.7,,0
210,"Clover-Red, for hay (early bloom)",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,12.53,2.394049187,0.309455165,1.909551646,"2,000",86.4,87.47,2.32,14.5,,0
211,"Clover-Red, for hay (full bloom)",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,13.55,2.42703689,0.249455165,1.859701097,"2,000",86.1,86.45,2.704,16.9,,0
212,"Clover-Red, for hay (late vegetative)",Trifolium pratense,TRPR2,N,Aboveground biomass,Forage,ton,2000,15,3.35,#DIV/0!,#DIV/0!,"2,000",63.57021505,85,2.141487225,13.38627753,,0
213,"Clover-Red, for hay (mature)",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,8.8,1.936,0.21,1.7,"2,000",91.2,91.2,1.68,10.5,,0
214,"Clover-Red, for hay (mid bloom)",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,11.7,2.458049187,0.279455165,1.553034431,"2,000",88.4,88.3,2.496,15.6,,0
215,"Clover-Red, for seed",Trifolium pratense,TRPR2,"N,P",Seed,Forage,cwt,100,12.23,5.892571429,0.61,#DIV/0!,100,63.57021505,87.77,2.141487225,13.38627753,,0
216,"Clover-White, for green chop",Trifolium repens,TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,81.9,4.255685393,0.473904494,2.221207865,"2,000",17.7,18.1,4.512,28.2,,0
217,"Clover-White, for green chop (full bloom)",Trifolium repens,TRRE3,"N,P",Aboveground biomass,Forage,ton,2000,82.1,4.528,0.44,#DIV/0!,"2,000",17.9,17.9,4.528,28.3,,0
218,"Clover-White, for hay",Trifolium repens,TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,9.73,3.089409091,0.352045455,2.25,"2,000",90.7,90.28,3.008,18.8,,0
219,"Clover-White, for hay (full bloom)",Trifolium repens,TRRE3,N,Aboveground biomass,Forage,ton,2000,7.6,3.216,#DIV/0!,#DIV/0!,"2,000",92.4,92.4,3.216,20.1,,0
220,"Clover-White, for hay (late bloom)",Trifolium repens,TRRE3,N,Aboveground biomass,Forage,ton,2000,12.4,2.768,#DIV/0!,#DIV/0!,"2,000",87.6,87.6,2.768,17.3,,0
221,"Clover-White, for hay (mature)",Trifolium repens,TRRE3,N,Aboveground biomass,Forage,ton,2000,7.8,2.256,#DIV/0!,#DIV/0!,"2,000",92.2,92.2,2.256,14.1,,0
222,"Clover-White-Ladino type + Grass, for green chop","Trifolium repens, Poaceae",TRRE3,"N,P",Aboveground biomass,Forage,ton,2000,80,2.8,0.4,#DIV/0!,"2,000",20,20,2.8,17.5,,0
223,"Clover-White-Ladino type + Grass, for green chop (early bloom)","Trifolium repens, Poaceae",TRRE3,N,Aboveground biomass,Forage,ton,2000,80,2.448,#DIV/0!,#DIV/0!,"2,000",20,20,2.448,15.3,,0
224,"Clover-White-Ladino type + Grass, for hay","Trifolium repens, Poaceae",TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,11.25,2.918278596,0.227587769,1.962627407,"2,000",89.2,88.75,2.96,18.5,,0
225,"Clover-White-Ladino type + Grass, for hay (mature)","Trifolium repens, Poaceae",TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,8.5,1.808,0.22,1.75,"2,000",91.5,91.5,1.808,11.3,,0
226,"Clover-White-Ladino type + Timonth, for silage","Trifolimu repens, Phleum pratense","TRRE3, PHPR3","N,P,K",Aboveground biomass,Forage,ton,2000,70.6,3.168,0.2,2.22,"2,000",29.4,29.4,3.168,19.8,,0
227,"Clover-White-Ladino type, for green chop",Trifolium repens,TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,80.94,3.953580723,0.410421687,1.94936747,"2,000",18,19.06,3.952,24.7,,0
228,"Clover-White-Ladino type, for green chop (early bloom)",Trifolium repens,TRRE3,"P,K",Aboveground biomass,Forage,ton,2000,64.6,#DIV/0!,0.31,3.17,"2,000",35.4,35.4,2.141487225,13.38627753,,0
229,"Clover-White-Ladino type, for hay",Trofolium repens,TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,10.82,3.324152957,0.323149297,2.431145251,"2,000",89.5,89.18,3.312,20.7,,0
230,"Clover-White-Ladino type, for hay (early bloom)",Trofolium repens,TRRE3,"N,P",Aboveground biomass,Forage,ton,2000,7.57,3.52959276,0.31,#DIV/0!,"2,000",94.5,92.43,3.264,20.4,,0
231,"Clover-White-Ladino type, for hay (mature)",Trofolium repens,TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,8.9,2.528,0.25,2.16,"2,000",91.1,91.1,2.528,15.8,,0
232,"Coconut, for meat",Cocos nucifera,CONU,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,46.99,1.005093379,0.213167327,0.671571402,40,63.57021505,53.01,2.141487225,13.38627753,,0
233,"Coconut, for milk",Cocos nucifera,CONU,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,67.62,1.131562693,0.308832613,0.812229771,40,63.57021505,32.38,2.141487225,13.38627753,,0
234,"Corn-Field, for grain (shelled, yellow dent, grade #1)",Zea mays ssp. mays,ZEMAM2,"N,P,K",Caryopsis,Cereal and oil,bu,56,13.52,1.637313016,0.312586636,0.344444444,56,85.8,86.48,2.141487225,13.38627753,,0
235,"Corn-Field, for silage (dough stage)",Zea mays ssp. mays,ZEMAM2,"N,P,K",Aboveground biomass,Forage,ton,2000,71.2,1.2356,0.185,1.04,"2,000",28.1,28.8,1.232,7.7,,0
236,"Corn-Field, for silage (mature)",Zea mays ssp. mays,ZEMAM2,"N,P,K",Aboveground biomass,Forage,ton,2000,70.08,1.295144928,0.378405797,1.035652174,"2,000",33.6,29.93,1.216,7.6,,0
237,"Corn-Field, for silage (milk stage)",Zea mays ssp. mays,ZEMAM2,"N,P,K",Aboveground biomass,Forage,ton,2000,76.87,1.418666667,0.24,1.465,"2,000",25.4,23.13,1.344,8.4,,0
238,"Corn-Field, for stover (yield less than 95 bu/acre, mature, without ear, dry)",Zea mays ssp. mays,ZEMAM2,"N,P,K",Stover,Cereal and oil,lb stover/bu grain,56,13.3,0.983381898,0.099834437,1.503647903,"2,000",84.4,86.7,1.088,6.8,,0
239,"Corn-Field, for stover (yield more than 95 bu/acre, mature, without ear, dry)",Zea mays ssp. mays,ZEMAM2,"N,P,K",Stover,Cereal and oil,lb stover/bu grain,70,13.3,0.983381898,0.099834437,1.503647903,"2,000",84.4,86.7,1.088,6.8,,0
240,"Corn-Popcorn, for grain",Zea mays ssp. mays,ZEMAM2,"N,P",Caryopsis,Cereal and oil,bu,50,10.1,2.047111111,0.328055556,#DIV/0!,50,89.8,89.9,2.048,12.8,,0
241,"Corn-Popcorn, for stover (mature, without ear, dry)",Zea mays ssp. mays,ZEMAM2,"N,P,K",Stover,Cereal and oil,lb stover/bu grain,56,12.73,0.969842531,0.099779249,1.521530537,50,84.4,87.27,1.088,6.8,,0
242,"Corn-Sweet, for ears with husk (immature)",Zea mays ssp. mays,ZEMAM2,N,Ear and husk,Vegetable,lb of fruit ,1,64.85,1.611439153,#DIV/0!,#DIV/0!,50,37.8,35.15,1.616,10.1,,0
243,"Corn-Sweet, for grain (dry)",Zea mays ssp. mays,ZEMAM2,"N,P",Caryopsis,Vegetable,lb of caryopsis,1,9.07,2.005333333,0.383333333,#DIV/0!,1,90.9,90.93,2.048,12.8,,0
244,"Corn-Sweet, for stover (without ear and husk, immature)",Zea mays ssp. mays,ZEMAM2,N,Stover,Vegetable,ton,2000,76.54,1.202660465,#DIV/0!,#DIV/0!,"2,000",22,23.46,1.168,7.3,,0
245,"Corn-Sweet, for stover (without ear and husk, mature, very dry)",Zea mays ssp. mays,ZEMAM2,"N,P,K",Stover,Vegetable,lb stover/bu grain,56,9.4,1.037527594,0.099337748,1.644591612,"2,000",63.57021505,90.6,2.141487225,13.38627753,,0
246,"Cotton, for lint without seed or cotton lint",Gossypium sp.,GOSSY,N,Seed,Fiber and miscellaneous,lb of seed,1,9,0.196,#DIV/0!,#DIV/0!,1,92,91,0.192,1.2,,0
247,"Cotton, for seed with lint or seed cotton",Gossypium sp.,GOSSY,"N,P,K",Seed and lint,Fiber and miscellaneous,lb of seed and lint,1,7.8,3.296,0.41,0.49,1,92.5,92.2,2.944,18.4,,0
248,"Cotton, for seed without lint",Gossypium sp.,GOSSY,"N,P,K",Seed,Fiber and miscellaneous,lb of seed,1,8.38,3.770842503,0.734516361,1.179137001,1,63.57021505,91.63,2.141487225,13.38627753,,0
249,"Cotton, for stalks (dry)",Gossypium sp.,GOSSY,N,Straw,Fiber and miscellaneous,lb straw/lb seed cotton,1,7.7,0.985915493,#DIV/0!,#DIV/0!,1,63.57021505,92.3,2.141487225,13.38627753,,0
250,"Cowpea, for hay",Vigna unguiculata ssp. unguiculata,VIUNU,"N,P,K",Aboveground biomass,Forage,ton,2000,9.6,2.966387597,0.323427464,2.39,"2,000",90.5,90.4,2.832,17.7,,0
251,"Cowpea, for seed",Vigna unguiculata ssp. unguiculata,VIUNU,"N,P,K",Seed,Vegetable,lb of seed,1,10.65,4.134561798,0.526713483,1.327668539,1,89,89.35,3.808,23.8,,0
252,"Cowpea, for straw",Vigna unguiculata ssp. unguiculata,VIUNU,N,Straw,Forage,lb straw/lb seed,1.35,8.94,1.126869749,#DIV/0!,#DIV/0!,1,91.2,91.06,1.216,7.6,,0
253,Crabapple,Malus sp.,MALUS,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,78.94,0.303893637,0.071225071,0.921177588,1,63.57021505,21.06,2.141487225,13.38627753,,0
254,Cranberry,Vaccinium macrocarpon,VAMA,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,86.54,0.46359584,0.066864785,0.527488856,18,63.57021505,13.46,2.141487225,13.38627753,,0
255,"Cucumber, for fruit",Cucumis sativus,CUSA4,"N,P,K",Fruit,Vegetable,lb of fruit ,1,95.5,2.5,0.525,4.25,55,63.57021505,4.5,2.141487225,13.38627753,,0
256,Cup plant,Silphium perfoliatum,SIPE2,"N,P,K",Aboveground biomass,Forage,ton,2000,71,3,0.05,3,"2,000",63.57021505,29,2.141487225,13.38627753,,0
257,Currant-European black,Ribes nigrum,RINI,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,81.96,1.241685144,0.327050998,1.784922395,11,63.57021505,18.04,2.141487225,13.38627753,,0
258,Currants-Red & White,Ribes rubrum,RIRU80,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,83.95,1.395638629,0.274143302,1.713395639,11,63.57021505,16.05,2.141487225,13.38627753,,0
259,Custard-Apple,Annona reticulata,ANRE,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,71.5,0.954385965,0.073684211,1.340350877,1,63.57021505,28.5,2.141487225,13.38627753,,0
